,0,1,2
321,83795,344099930_95518617969_747475,Test
322,83795,680634076_99815567373_83871,Test
323,84480,642968424_67412904298_47809,Control
324,84596,964045172_87458357902_455802,Test
325,84976,139734574_32428959876_504129,Test
326,84976,142209159_41079837928_917253,Test
327,85097,277248187_18179523868_438999,Control
328,85286,917624845_75991358926_910006,Control
329,85515,44469663_78159418759_167275,Control
330,85793,653764728_56521876719_931774,Control
331,86499,208261982_71575007952_93784,Control
332,86616,260817534_34952385611_28292,Control
333,86780,218972230_66329892338_843184,Test
334,86877,37618547_92916428039_619239,Test
335,87162,831769083_79512590962_336601,Control
336,87218,557340204_35677035322_784350,Control
337,87300,790735036_83228465635_51007,Control
338,87449,415984745_87873560572_185393,Test
339,87915,651765300_55154794983_97974,Test
340,87915,915189057_97775849314_580608,Test
341,88378,102011341_65573429752_679025,Control
342,89108,387704599_68740390385_217814,Control
343,89257,172413594_75855638413_555053,Test
344,89257,411612845_23853070267_556748,Test
345,89645,841936333_44588769554_688741,Control
346,89812,291408827_7422142742_681129,Test
347,89959,285484394_68232793534_608817,Test
348,90324,958190931_51635980078_332575,Test
349,91110,172235579_329457796_741013,Test
350,91443,308622971_78898234019_725394,Test
351,91633,619662771_70051122106_772990,Test
352,92066,767139119_96369959898_876291,Test
353,92066,86670388_1805786967_458670,Test
354,92808,299071433_50899666515_539394,Control
355,93127,115049717_82186765278_162124,Control
356,93127,336400838_1552526746_312660,Control
357,93370,511148347_98027491429_756769,Test
358,93610,174577322_36212807338_455989,Test
359,93751,366568338_26828365544_44481,Test
360,93751,66587528_95065337991_255436,Test
361,93870,687895566_3953259668_3017,Test
362,93915,108622316_94547093641_110646,Test
363,93915,266159958_12074488701_377183,Test
364,94012,119047297_40552270332_210558,Control
365,94552,820736879_79487725607_431059,Test
366,94552,840518915_58635435479_876626,Test
367,94662,558892563_13920390389_580537,Test
368,95035,614161976_58732816103_466584,Test
369,95453,838547461_8870003354_311669,Test
370,96190,284864284_64968477406_378613,Test
371,96787,458484632_9985749526_58896,Test
372,97147,349433838_95321433841_938900,Test
373,97590,373303988_9311868916_944445,Test
374,97590,526840835_57363624922_397644,Test
375,97966,394527525_40937132615_101660,Control
376,98248,84427058_10514690404_216612,Test
377,98337,741531807_5392441196_917698,Test
378,99811,351444433_49073302132_618599,Control
379,100118,347315206_4501865796_895799,Test
380,100503,658870887_30901269734_975842,Control
381,100940,394323312_11095068897_782032,Test
382,101143,122201190_72593720351_530630,Control
383,101220,889940045_76429658646_227709,Test
384,101246,36300580_33898644327_590746,Control
385,102859,405828420_54957579238_161129,Control
386,102884,193365580_59242100880_338967,Test
387,102884,787444419_23399802006_476230,Test
388,103622,385168450_451051977_830365,Test
389,103627,108928315_10447608302_593541,Test
390,103669,223357755_92262131961_347333,Test
391,104190,338811117_80818195698_433043,Test
392,104190,907360985_83344469602_263288,Test
393,104884,216192472_674338533_891808,Control
394,104884,880962108_41443210638_158891,Control
395,105026,959385465_32502040406_790829,Control
396,105360,974500019_68461884951_754811,Control
397,105623,59756434_3815270231_788937,Control
398,106137,717902800_76944918861_511271,Test
399,106457,170310826_68249200743_6666,Control
400,106457,23010827_90662577579_669005,Control
401,106457,945368358_25229865036_29839,Control
402,106501,260256878_76728362673_287383,Test
403,108335,297161538_63387137214_706948,Control
404,108335,553081715_95559405778_757933,Control
405,108419,257867077_44254240231_410826,Test
406,108438,378683572_78317997494_115312,Control
407,109465,99594047_67851338843_22807,Control
408,109662,747756614_58543207345_76672,Test
409,109932,604119771_77181705739_204818,Control
410,110028,291344952_64443458224_204932,Test
